stop_id,arrivals,stop_name,stop_desc,stop_lat,stop_lon,degree_centrality
260016859,26,Antonia De Queiros B/C,"R. Da Consolação, 1247 Ref.: R Dona Antonia De Queiros/ R Piaui",-23.549577,-46.653216,9.56892014736137e-05
530015317,26,Shopping Ibirapuera B/C,"Av. Ibirapuera, 3253 Ref.: R Capitao Alvaro Nascimento Carvalhaes/ R Luiz Brandao",-23.610821,-46.668978,9.56892014736137e-05
4811488,26,"R. Br. De Jundiaí, 301",Ref.: R Nsra Da Lapa,-23.524828,-46.708026,0.00023922300368403425
300009892,26,"Av. Da. Belmira Marin, 1246",Ref.: R Coronel Herman Jose Rocha/ R Isabel Aguiar De Campos,-23.741778,-46.691832,0.00014353380221042054
300009891,26,"Av. Da. Belmira Marin, 1135",Ref.: Av. Rosália Iannini Conde,-23.740194,-46.691432,0.00014353380221042054
300009897,26,"Av. Da. Belmira Marin, 2328",Ref.: R Antonio Jose Escudeiro/ R Ezequiel Lopes Cardoso,-23.749694,-46.687685,9.56892014736137e-05
260016861,26,Caio Prado B/C,"R. Da Consolação, 901 Ref.: R Marques De Paranagua/ R Maria Antonia",-23.548174,-46.649565,0.00023922300368403425
300009895,26,"Av. Da. Belmira Marin, 2143",Ref.: R Joao Batista Barrozo Filho/ R Pelagia Starbulov,-23.746755,-46.68792,9.56892014736137e-05
150015665,26,Morais De Barros B/C,"Av. Ver. José Diniz, 3730 Ref.: R Morais De Barros/ R Demostenes",-23.615754,-46.673566,9.56892014736137e-05
300009894,26,"Av. Da. Belmira Marin, 1874",Ref.: R Pelagia Starbulov/ Vel Dezenove,-23.74591,-46.688722,9.56892014736137e-05
300009893,26,"Av. Da. Belmira Marin, 1553",Ref.: R Pessanha Povoa/ Av Antonio Carlos Benjamim Dos Santos,-23.743752,-46.69122,9.56892014736137e-05
300009896,26,"Av. Da. Belmira Marin, 2250",Ref.: R Ezequiel Lopes Cardoso/ R Olivia Carvalho,-23.749223,-46.687637,9.56892014736137e-05
150015661,26,Gabriele D Annunzio B/C,"Av. Ver. José Diniz, 3028 Ref.: R Gabriele D Annunzio/ R Edson",-23.620532,-46.678099,9.56892014736137e-05
600012375,26,"R. Pe. João, 207",Ref.: R Pereque/ R Caquito,-23.522002,-46.545414,0.0002870676044208411
80014486,26,Parada 1/2/3 - São Leopoldo,"Av. Celso Garcia, 1324 Ref.: Tr Ribeiro Viana/ R Saldanha Marinho",-23.53816,-46.599512,0.0001913784029472274
